App_Batch,baseline_nonsharing,nyx_nonsharing,baseline_fcfs,nyx_fcfs,baseline_rr,nyx_rr,baseline_sjf,nyx_sjf,baseline_nimblock,nyx_nimblock
Image Compression_256,1.5144,0.357943,1.60392,0.160665,1.34735,0.1719,1.57436,0.152907,2.9028,0.152266
3D Rendering_4,0.155963,0.0869582,0.156813,0.0216165,0.0909478,0.0313174,0.126574,0.0224948,0.659452,0.0217437
3D Rendering_2,0.0594822,0.0198226,0.0940783,0.0196003,0.0592066,0.0204938,0.059418,0.021297,0.248306,0.0201444
Optical Flow_1,0.853488,0.206599,0.698925,0.125583,0.623988,0.111662,0.624755,0.136392,1.06892,0.11597
Optical Flow_2,0.961358,0.17798,0.904984,0.184309,0.875342,0.182643,0.873064,0.196411,1.05678,0.179906
Lenet_512,1.02515,0.402914,0.684381,0.404434,0.72533,0.378365,0.53761,0.397709,1.28849,0.378114
Digit Recognition_1,4.66031,4.53935,4.68669,4.7325,4.59293,4.60686,4.64542,4.58889,4.90349,4.56324
Digit Recognition_1,7.66797,7.54282,4.64402,5.09862,4.59269,4.60178,4.62951,4.60861,4.93038,4.7074
Lenet_256,6.43823,6.2354,0.513531,1.40181,3.20036,3.12446,0.506446,0.31829,0.896086,0.48562
Image Scaling_1,8.06992,6.82374,3.12449,2.77191,4.68093,3.66672,3.10433,2.16668,3.79479,2.24623
3D Rendering_4,6.66101,5.35008,0.211011,0.206975,0.746067,0.347905,0.114031,0.052752,0.482328,0.0221152
Image Compression_512,7.83138,4.12911,2.96241,0.266588,3.24878,0.947831,2.85214,0.271356,5.31893,0.267733
Optical Flow_2,7.20276,2.79271,2.20893,0.173486,2.53362,0.165522,2.15568,0.178916,1.54074,0.166167
Digit Recognition_1,10.2108,5.7963,4.5791,4.50608,4.87907,4.50427,4.57002,4.50625,5.00458,4.50414
Image Compression_64,9.06534,4.36204,0.490362,0.265074,3.46234,3.2155,0.519408,0.0655615,1.98307,0.125172
Lenet_16,7.62297,2.91143,0.218147,0.832572,2.01342,1.86053,0.119565,0.0439663,0.775057,0.0775203
Image Compression_128,6.8216,1.51709,0.804379,0.446494,1.1566,0.460912,0.72505,0.0950085,1.13126,0.0995515
3D Rendering_2,5.38141,0.0377518,0.0604112,0.0202757,0.060267,0.0204293,0.0603701,0.020249,0.0594473,0.0203501
Lenet_512,4.37754,0.378109,0.523137,0.378303,0.513747,0.378229,0.52484,0.377883,0.523124,0.378166
Lenet_1024,3.85551,0.749544,0.94056,0.749661,0.965415,0.75022,0.965896,0.750053,0.978205,0.749531
Image Scaling_2,5.04614,4.06323,4.99028,4.06356,4.93043,4.06402,5.07732,4.06467,5.39918,4.11047
Lenet_512,4.04157,2.9419,0.817094,0.87707,3.6096,2.60998,0.62527,0.418499,0.983628,0.60041
Image Scaling_1,5.55673,3.47703,3.08548,2.47542,4.9298,3.11902,3.01194,2.14297,3.40104,2.23781
3D Rendering_2,4.11632,1.9982,0.107401,0.196249,1.05145,0.021363,0.0751437,0.0212804,0.25041,0.0210758
Lenet_1024,3.55699,1.24957,1.11993,0.74971,2.69467,0.749934,0.934712,0.749568,1.36155,0.749604
Lenet_256,2.32551,0.192199,0.265723,0.192569,1.35047,0.192543,0.263646,0.193065,0.299328,0.192703
Image Compression_1024,6.14175,0.518623,5.83213,0.704456,5.51895,0.668616,5.76203,0.507191,4.22847,0.49785
Image Compression_512,7.31054,0.270725,4.76879,0.266411,6.68591,0.267779,4.90753,0.369674,6.80273,0.291439
Optical Flow_1,6.43385,0.14858,3.40162,0.117844,5.77592,0.126321,3.34498,0.13804,3.82182,0.118342
Image Compression_512,7.60692,0.266163,4.54188,0.361903,6.55262,0.267473,4.40146,0.282177,5.92882,0.266761
Optical Flow_2,6.97677,0.178141,3.83191,0.169186,5.87935,0.172892,3.70825,0.168675,2.1119,0.166092
Image Scaling_2,10.4017,4.06278,6.58367,4.10925,8.63608,4.10701,6.43647,4.1089,5.7579,4.06397
3D Rendering_4,8.99242,2.58404,0.953683,0.650494,3.04379,0.0228108,0.82991,0.0223598,1.39572,0.0222942
Optical Flow_1,8.11579,1.20731,0.697389,0.427127,6.20551,1.19964,0.637707,0.111745,0.886083,0.112241
Optical Flow_2,7.48615,0.342963,0.871986,0.163832,5.23866,0.170511,0.876103,0.165641,1.06657,0.166472
Digit Recognition_1,10.4943,4.50508,4.56209,4.63703,7.7899,4.71872,4.51722,4.50621,4.51654,4.50405
Optical Flow_1,9.6177,3.12858,0.745617,1.05212,6.60277,3.28661,0.677185,0.129769,0.983036,0.111873
Image Scaling_2,13.0428,5.69223,4.96977,4.67565,9.72823,5.80026,4.96879,4.26293,5.48038,4.39674
Digit Recognition_1,16.0472,8.69569,4.58964,4.69116,8.54927,5.20324,4.59092,4.56477,4.71149,4.70061
Digit Recognition_1,19.055,11.6993,4.56759,4.65624,7.33821,4.57194,4.59103,4.56491,4.71414,4.74042
Lenet_512,0.488597,0.378279,0.91802,0.37837,0.71309,0.377998,0.521118,0.37829,0.488408,0.378985
Image Compression_8,0.0620948,0.0426151,0.397321,0.0430818,0.290788,0.0444169,0.0624302,0.143784,0.0621489,0.0445157
Optical Flow_1,0.62367,0.108695,0.840531,0.109615,0.727988,0.117083,0.624622,0.111538,0.66615,0.114507
Image Compression_256,1.34591,0.203539,1.34925,0.151014,1.36652,0.153513,1.34551,0.154853,1.3439,0.151179
Image Compression_512,2.66975,0.273627,2.7933,0.266288,2.99166,0.606245,2.7053,0.267868,2.67775,0.265987
3D Rendering_2,1.22926,0.0195145,0.162635,0.0199201,1.56227,0.111185,0.0880243,0.0203476,0.0667024,0.0199633
Image Scaling_1,2.99252,2.03476,3.15599,2.16744,3.10502,2.03471,3.03418,2.05159,3.13256,2.05215
Image Scaling_1,4.48462,2.56938,3.17182,2.6107,3.85627,2.48412,2.99218,2.14312,3.35677,2.2409
Lenet_512,3.47092,1.4476,0.859449,0.602369,2.59532,1.02376,0.959055,0.41788,0.828522,0.601818
3D Rendering_2,2.0306,0.0244267,0.195824,0.0204215,0.973515,0.0202247,0.0593922,0.021005,0.205007,0.0205846
Image Scaling_2,5.45134,4.06293,5.2136,4.06355,5.00989,4.06443,4.97525,4.06493,5.06797,4.06317
Image Scaling_2,8.87661,6.62686,5.18508,4.26083,7.92666,6.52778,4.95272,4.2612,5.64824,4.40299
3D Rendering_4,7.46843,5.14762,0.516002,0.11451,2.58656,1.20223,0.0911793,0.0318185,0.219393,0.0219429
Digit Recognition_1,10.4764,8.15125,4.6534,4.50642,5.56199,4.50356,4.51232,4.50622,4.64885,4.64513
Lenet_512,9.4953,7.02973,1.0508,0.417486,4.48774,3.04812,0.809906,0.457936,1.04886,0.602264
Image Scaling_2,12.9209,9.59277,5.06163,4.2743,7.63552,5.57564,4.93085,4.26623,5.41169,4.3957
Image Scaling_2,16.3457,12.1571,4.99691,4.27669,10.3312,7.9557,4.93113,4.27674,5.29782,4.42324
Image Compression_256,16.1904,10.8138,1.9662,0.470097,9.08258,6.57077,1.69294,0.267714,2.12968,0.434416
Lenet_1024,15.696,10.0632,1.98862,0.8283,8.38006,5.73766,1.37152,0.828593,2.96777,1.08913
Image Scaling_2,19.1209,12.6264,5.02289,4.06365,11.7616,8.28841,4.92468,4.06355,5.52018,4.06331
Image Scaling_2,4.92565,4.06324,4.97703,4.06327,4.95328,4.06365,4.98625,4.10868,4.9427,4.06885
Optical Flow_1,4.04961,2.68022,0.814641,0.122299,3.82622,2.63799,0.724174,0.124445,0.811441,0.110965
Image Scaling_1,5.54187,3.21532,2.99302,2.1424,5.01154,3.11903,3.06888,2.14661,3.08753,2.26268
Lenet_1024,5.01105,2.46516,1.37407,0.749786,3.75509,1.69823,1.33457,0.750457,1.66895,1.01147
Image Scaling_2,8.43609,5.02802,4.93181,4.1072,6.96556,4.18854,4.93637,4.06364,5.0633,4.06351
3D Rendering_4,7.02957,3.55411,0.174693,0.0222516,1.36708,0.0221493,0.141322,0.0217478,0.0910413,0.0227513
Lenet_1024,6.47018,2.80575,1.41705,0.828336,4.85265,1.6883,1.31147,0.82783,1.49324,1.09054
Image Scaling_4,13.7604,9.4264,8.79109,8.21519,11.6021,8.12003,8.79174,8.12509,9.10072,8.27491
Digit Recognition_1,16.7682,12.4303,4.73945,4.68697,6.65854,4.50584,4.58748,4.50658,4.79449,4.64707
Image Compression_512,17.9376,11.2078,3.53281,1.02559,9.10749,5.45671,3.41185,0.529163,3.85174,0.73111
Image Compression_256,17.7829,9.86995,3.52718,0.579008,8.7245,4.07176,3.0901,0.278696,3.78979,0.425864
Digit Recognition_1,20.7907,12.8741,6.24113,4.72619,10.6683,6.96863,6.12124,4.53908,6.47766,4.70372
Optical Flow_2,20.1613,11.5516,1.36106,0.458958,9.75531,5.59998,0.971082,0.386821,1.79792,0.178098
Digit Recognition_1,23.1692,14.5551,4.74018,4.53835,12.2696,8.50532,4.6026,4.53794,4.7535,4.67787
Image Compression_128,22.3528,13.1562,0.913821,0.452723,10.9525,7.0632,0.973496,0.0965598,1.1817,0.242144
Lenet_512,21.371,12.0345,0.750799,0.501645,10.0393,5.89629,0.778237,0.417766,0.835456,0.601499
3D Rendering_2,19.9319,10.5542,0.160681,0.0203246,8.53929,4.40838,0.112182,0.0327016,0.229297,0.0198747
Digit Recognition_1,22.9399,13.5579,4.54907,4.50381,11.4591,7.40711,4.54223,4.5346,4.53529,4.5303
Image Scaling_2,26.3651,16.1211,4.9924,7.05085,14.1435,9.79199,4.97525,4.26601,5.12424,4.39583
Digit Recognition_1,29.3727,19.1245,4.54848,6.34793,13.1518,8.90084,4.54182,4.53449,4.67519,4.71238
Image Scaling_2,4.92483,4.06352,4.92482,4.06313,5.12232,4.12212,4.92463,4.06438,4.92491,4.06361
3D Rendering_2,3.4843,2.58867,0.0604671,0.0198967,0.192477,0.0203887,0.0597397,0.0209412,0.0595687,0.0197417
3D Rendering_4,2.07504,1.11587,0.0919645,0.0206717,0.212809,0.0349406,0.0909738,0.0221945,0.0909184,0.0219214
Optical Flow_2,1.44567,0.164954,0.885516,0.163646,1.58529,0.173158,0.928399,0.16742,0.868026,0.165585
3D Rendering_1,0.0436581,0.0188098,0.0443621,0.0183087,0.0936564,0.019699,0.0934922,0.0197407,0.0436674,0.0188414
Image Compression_1024,5.31655,0.495929,5.68111,0.495131,5.82096,0.496422,5.82339,0.694745,6.20416,0.496517
Lenet_1024,4.7504,0.749635,2.95957,0.749242,5.43335,0.750161,2.88606,0.750822,2.36502,0.750417
Lenet_512,3.73361,0.378219,2.84241,0.378133,5.0077,0.378846,2.94535,0.378385,2.45911,0.378248
Digit Recognition_1,6.74109,4.50388,5.7211,4.50557,7.20088,4.50519,5.84116,4.50654,5.22596,4.50491
3D Rendering_4,5.33201,3.03011,0.0962116,0.176526,2.00741,0.0219542,0.0953775,0.0216009,0.106987,0.0223488
Image Compression_1024,9.14874,2.03689,6.17588,0.935431,6.43285,1.98462,5.78898,0.722738,6.71239,0.974543
Image Scaling_1,10.6409,2.57173,4.25673,2.03465,7.64338,2.43389,4.35716,2.05345,3.95774,2.03966
Digit Recognition_1,13.6483,5.57534,7.28374,4.50584,8.10345,4.5193,7.19246,4.5059,6.99609,4.65287
Optical Flow_2,13.0182,4.24039,2.43287,0.178393,7.21428,3.15512,2.16415,0.180329,3.065,0.164341
Lenet_512,12.0431,3.11883,1.16102,0.416921,6.05421,1.92237,1.00415,0.417353,2.1696,0.601253
Optical Flow_1,11.1668,1.74259,0.667271,0.363492,4.98712,0.522503,0.690206,0.127991,0.716979,0.113464
Lenet_1024,10.6076,0.992125,1.18027,0.749664,4.56719,0.749913,1.19333,0.749663,1.14204,0.749589
Image Scaling_2,14.0325,4.06375,4.92451,4.06353,7.78776,4.14977,4.9251,4.17139,4.92484,4.12696
Digit Recognition_1,17.0401,7.06773,4.50833,4.50358,6.37282,4.50384,4.50809,4.50382,4.62433,4.64504
Image Scaling_1,18.5325,7.60255,3.02123,2.61351,7.2831,4.95326,3.01665,2.29235,3.38519,2.40347
Optical Flow_2,0.870378,0.184897,0.948168,0.164431,0.964742,0.169669,0.883081,0.186948,0.86696,0.166093
Image Scaling_2,4.92523,4.06351,4.93074,4.06319,5.0186,4.10612,4.93116,4.10903,4.93064,4.06663
Digit Recognition_1,7.93318,7.0676,4.61214,4.50604,4.5874,4.51059,4.54594,4.50657,4.6659,4.64658
Image Compression_512,9.10298,5.83346,2.93764,0.493477,3.66325,3.24041,2.83099,0.479543,3.05468,0.758039
Image Compression_256,8.96863,4.48457,2.99761,0.253436,3.33553,1.85547,2.78472,0.196186,3.19543,0.271801
Lenet_1024,8.43209,3.73424,2.22793,0.749694,2.57125,0.996804,2.00939,0.750314,2.28429,0.896556
Digit Recognition_1,11.4399,6.73779,4.53218,4.50595,4.89336,4.5041,4.53108,4.5063,4.77785,4.51033
Image Scaling_2,14.8651,9.2979,4.92558,4.26067,7.61533,6.88437,4.92535,4.26428,5.25793,7.05104
Optical Flow_2,14.2353,7.96097,1.06209,0.611019,6.71261,5.51491,0.956581,0.281963,1.16928,1.99442
Lenet_256,13.0392,6.65355,0.450284,0.442954,5.40335,4.1041,0.341922,0.212296,0.619593,0.614998
Image Compression_1024,16.8513,5.66074,5.6529,0.505153,9.31445,3.0894,5.47265,0.68702,6.2976,0.846951
Digit Recognition_1,19.8593,8.66449,4.60302,4.68877,7.23779,5.86775,4.63809,4.5664,4.80643,4.70929
Digit Recognition_1,22.8676,11.6682,7.0571,4.57986,10.7475,4.68374,6.9586,4.56729,7.48979,4.70866
3D Rendering_4,21.4598,10.19,1.21423,0.329115,4.91793,0.0229435,1.03367,0.0234557,1.98876,0.0218269
Optical Flow_1,20.5828,8.81419,0.636696,0.451895,8.31973,1.77763,0.660295,0.112445,1.00248,0.125014
Image Scaling_1,22.0755,9.34936,2.99238,2.03841,9.3929,2.26101,2.99237,2.03519,3.09428,2.15159
Image Compression_1024,25.89,8.34438,5.52346,0.864423,11.192,1.22064,5.54249,0.636051,6.38004,0.848208
Optical Flow_1,25.0136,6.95384,4.69174,0.124185,10.1983,0.198538,4.57298,0.111091,0.82651,0.109825
Image Scaling_1,26.506,7.48884,5.68503,2.0347,11.3197,2.03522,5.59985,2.0524,3.26129,2.05238
Digit Recognition_1,29.5141,10.4929,6.19354,4.50329,11.7664,4.50394,6.075,4.50371,6.26464,4.64546
Image Compression_512,2.66878,0.277438,2.69961,0.270151,3.04196,0.36175,2.69925,0.362544,2.69095,0.359352
Lenet_128,1.3222,0.100572,0.374036,0.0995875,1.87787,0.10016,0.391389,0.099656,0.346121,0.0997265
Image Compression_1024,5.31535,0.507501,5.53838,0.687344,5.91017,0.497564,5.45211,0.712983,5.41148,0.494817
Optical Flow_1,4.439,0.126645,4.61784,0.118983,4.95622,0.112162,4.51528,0.111438,0.645862,0.110968
Image Scaling_2,7.86389,4.06452,7.59528,4.06545,7.99743,4.06478,7.5676,4.14317,5.31147,4.113
Digit Recognition_1,10.8714,7.06857,6.2564,2.91701,6.6924,4.50385,5.52904,4.52566,5.42367,4.64712
Image Scaling_2,14.297,9.63174,5.484,4.59595,9.56329,6.88514,5.57061,4.5388,5.2474,5.28192
Image Scaling_2,17.7228,12.1953,6.25457,4.26401,12.2093,9.26531,6.32695,4.91376,5.24019,4.71602
Digit Recognition_1,20.7306,15.1992,6.05687,4.51205,11.2303,8.43251,5.53941,4.52868,4.69937,4.701
Image Compression_128,19.914,13.7929,1.1532,1.32155,10.0666,6.99064,1.1599,0.14804,1.13158,0.380836
Lenet_512,18.9368,12.671,0.805001,0.41744,9.30167,5.82313,0.851331,0.639036,1.05164,0.646256
Image Scaling_2,22.362,15.2342,4.9254,4.1086,12.4919,8.37969,4.9251,4.06618,5.0594,4.19869
Digit Recognition_1,25.3694,18.2378,4.52264,4.53182,11.1625,7.716,4.52277,4.5127,4.64598,4.65049
Lenet_1024,24.8424,17.4873,1.4847,1.23712,10.2289,6.29516,1.61767,1.23799,1.90875,1.57808
Optical Flow_1,23.9664,16.1102,0.631513,0.115168,9.41759,4.87348,0.750361,0.111424,0.70854,0.15304
3D Rendering_4,22.5574,14.6366,0.0947972,0.225663,7.61046,3.34662,0.0922339,0.0221425,0.0946441,0.0230622
Image Compression_32,21.2625,13.1984,0.20674,0.0508956,7.02293,1.90739,0.204943,0.0570031,0.186028,0.0548846
Optical Flow_1,20.3854,11.8262,0.661018,0.119516,6.01695,0.527984,0.623267,0.115359,0.619906,0.111668
Image Compression_512,21.5523,10.593,2.78659,0.278079,6.80474,0.268301,2.70408,0.362594,2.71519,0.26711
Optical Flow_1,20.6761,9.2015,1.82458,0.109524,5.88326,0.112921,1.78077,0.1257,0.645972,0.111997
3D Rendering_4,0.138309,0.0211366,0.0939527,0.0215035,0.143401,0.0244579,0.170922,0.0222894,0.0909706,0.0214625
Optical Flow_2,0.965128,0.162554,0.873237,0.17852,0.967772,0.16526,0.961764,0.16676,0.967395,0.164294
Optical Flow_2,0.869437,0.163624,0.871211,0.16766,0.981836,0.166733,0.893895,0.16632,1.06306,0.162552
Image Compression_1024,5.47321,0.494663,5.45548,0.49617,5.72242,0.506444,5.89236,0.687365,5.83946,0.49525
Digit Recognition_1,8.49756,4.50357,4.55958,4.50581,4.60082,4.50569,4.62831,4.50659,4.77334,4.50429
Lenet_512,7.65921,3.38182,3.2131,0.417246,3.3098,3.05033,3.72562,0.417821,3.56823,0.601768
Image Compression_512,8.82611,2.14811,4.39972,0.315691,4.62954,1.78044,5.76234,0.315739,4.7694,0.474036
Image Scaling_2,12.2873,4.71158,6.22888,4.063,7.84594,4.23916,5.48423,4.06409,5.62985,4.06757
Lenet_256,11.0616,3.40442,1.96448,0.212314,6.48022,2.76447,3.71536,0.212434,2.87273,0.342285
Optical Flow_2,10.4343,2.06767,1.138,0.178828,5.71843,1.41534,2.74283,0.178846,2.0475,0.16359
3D Rendering_4,9.02496,0.588364,0.124324,0.0208657,3.70332,0.0217153,0.378337,0.0252671,0.482127,0.0210899
3D Rendering_2,7.58436,0.0195197,0.0596348,0.0198543,2.6355,0.0233868,0.059566,0.0219349,0.0594222,0.0192628
Image Compression_512,8.73178,0.266296,2.70152,0.266797,4.38535,0.267042,2.78562,0.373156,2.69231,0.375981
3D Rendering_4,7.32252,0.0208949,0.133775,0.0206605,2.88529,0.0216317,0.192457,0.0234069,0.110121,0.0210166
Image Scaling_2,10.7478,4.06311,4.99715,4.06326,6.33046,4.06338,4.98782,4.06655,5.11384,4.06669
Optical Flow_2,10.1206,2.72634,0.872232,0.178611,5.40734,2.6962,0.95505,0.18279,0.8659,0.164056
Image Compression_1024,13.9371,1.72234,5.66744,0.624677,9.47018,1.58136,5.87881,0.624629,6.41779,0.848107
Digit Recognition_1,16.945,4.72632,5.06777,4.59317,7.35248,4.56216,5.10867,4.56222,5.58494,4.56053
Digit Recognition_1,19.9529,7.73018,7.16862,4.5933,10.8798,4.56193,7.17547,4.56258,7.51497,4.70171
Image Scaling_1,21.4447,8.26535,4.14149,2.38106,11.6168,5.01125,4.2681,2.28433,5.16822,2.39619
3D Rendering_4,0.0912941,0.0216225,0.0935614,0.0217,0.0918699,0.0269271,0.241523,0.0213465,0.0936293,0.0214258
Image Compression_128,0.68387,0.0937434,0.694518,0.0941986,0.682609,0.0945067,1.2272,0.0944563,0.708512,0.0936585
Optical Flow_1,0.625322,0.124466,0.623129,0.109408,0.700235,0.111027,1.42776,0.159688,0.619302,0.109224
Image Compression_1024,5.32038,0.498619,5.78262,0.687908,5.58279,0.511477,7.49686,0.496079,10.7047,0.681296
Lenet_256,4.08439,0.192457,0.720744,0.192606,4.59719,0.193251,1.34581,0.192509,4.8388,0.192964
3D Rendering_1,2.6289,0.0189245,0.0460902,0.0192143,2.97526,0.0190832,0.337289,0.0195933,3.13502,0.0237613
Image Compression_512,3.82178,0.275867,3.44673,0.36114,4.56488,0.267154,6.25248,0.26765,6.70669,0.265938
Image Scaling_2,7.24669,4.06342,5.82339,4.10811,7.74074,4.0637,7.91825,4.06497,8.58972,4.06351
Image Compression_256,7.09331,2.71454,1.81539,0.161073,6.45791,2.67866,6.09861,0.160833,5.00323,0.396811
Optical Flow_2,6.4667,1.38293,1.15713,0.263501,5.64575,1.30665,2.50284,0.179616,4.2977,0.177841
Lenet_1024,5.93887,0.749524,1.19563,0.749531,4.8986,0.749639,4.97203,0.749542,3.78981,0.7495
Digit Recognition_1,8.96852,4.52673,4.54778,4.53504,7.79808,4.53594,7.74308,4.53864,6.38511,4.52753
3D Rendering_1,7.51234,3.0463,0.115575,0.0190245,1.77006,0.0197847,1.62871,0.019562,0.638348,0.0185887
Digit Recognition_1,10.5199,6.05192,4.59238,4.73478,5.00102,4.53594,4.98697,4.6234,4.71255,4.67682
Image Scaling_2,13.9449,8.61498,4.93607,4.26697,8.21653,6.91669,5.37312,4.26426,5.16585,4.39986
Image Compression_512,15.1183,7.38783,2.88746,0.478433,7.18927,5.64712,4.16326,0.479271,3.21443,0.744048
3D Rendering_2,13.679,5.90748,1.42756,0.0206541,5.33434,3.9479,2.66323,0.0207472,1.75304,0.019829
Digit Recognition_1,16.6879,8.91104,4.58816,4.56517,8.3671,7.03797,5.6234,4.56528,4.86438,4.55904
Digit Recognition_1,19.6955,11.9148,4.58864,4.56545,7.25988,5.73559,4.76667,4.56529,4.86043,4.70154
3D Rendering_4,18.2877,10.4358,0.252851,0.0243071,1.29122,0.0219269,0.41894,0.0217225,0.386869,0.0215501
3D Rendering_1,0.0445416,0.437822,0.0440091,0.0195444,0.0922659,0.0201106,0.0448223,0.0200956,0.043807,0.0247387
3D Rendering_2,0.0594928,0.0977511,0.0595692,0.0200694,0.105799,0.0235511,0.0607959,0.0246936,0.0604274,0.0193525
Image Compression_128,0.683548,0.763789,0.684293,0.0945766,0.86204,0.0958519,0.683726,0.0994604,0.684934,0.0930063
Lenet_1024,0.983064,1.13485,0.922655,0.749773,1.14519,0.752663,1.80754,0.749884,0.980145,0.749678
Digit Recognition_1,4.50771,4.67124,4.53957,4.50608,4.54904,4.50525,4.94058,4.50656,4.62507,4.50611
Image Compression_256,4.35301,3.32959,1.37196,0.161149,3.43852,3.12026,1.43835,0.161317,1.88571,0.273797
3D Rendering_2,2.91243,1.85069,0.0623225,0.0196694,1.69764,1.53727,0.58213,0.0201422,0.424688,0.0192559
Optical Flow_1,2.03857,2.63695,0.62444,0.123917,0.999305,0.212952,1.24578,0.119675,0.875605,0.109678
3D Rendering_1,0.582329,0.28914,0.044658,0.0189685,0.0935034,0.0193239,0.0446159,0.0196622,0.0440039,0.0189981
Optical Flow_1,0.625524,0.278899,0.623227,0.109488,0.700255,0.126366,0.969984,0.126048,0.619616,0.108384
Optical Flow_2,0.873055,0.205283,0.871648,0.164281,0.967618,0.168833,1.17662,0.164466,0.86602,0.164125
Image Scaling_1,2.99235,2.20572,2.99272,2.03499,3.06676,2.0353,3.60812,2.03543,2.9925,2.03765
Image Compression_512,4.16378,0.978058,2.70867,0.315669,2.91611,0.765729,3.64548,0.315996,3.79975,0.596506
Digit Recognition_1,7.16722,4.50381,4.54749,4.50585,4.68634,4.50937,5.14665,4.50596,4.79349,4.50559
Lenet_512,6.1929,3.3819,0.571767,0.417246,3.71445,3.05362,1.84662,0.417552,2.07376,0.602327
Optical Flow_2,5.56591,2.07585,0.871681,0.164108,2.82355,1.69041,1.16681,0.175426,1.17964,0.163247
Optical Flow_1,4.69146,0.702586,0.624344,0.109284,1.66138,0.258225,0.957004,0.130496,0.719002,0.122156
Lenet_32,3.25958,0.0614086,0.10397,0.0511805,0.280637,0.0461881,0.0679692,0.0513914,0.107006,0.0451529
Optical Flow_1,2.38536,0.138654,0.623162,0.109417,0.624975,0.1113,0.751498,0.111015,0.619206,0.109935
Image Scaling_2,5.81062,4.06305,4.92534,4.10689,4.96613,4.10617,5.06807,4.06322,4.92501,4.11202
